,Closest City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
194,hithadhoo,mv,-0.6,73.08,79.82,100,88,12.1
884,mnogovershinnyy,ru,53.94,139.92,-7.57,61,0,7.85
2297,ternate,id,0.8,127.4,83.42,100,24,7.4
729,tomatlan,mx,19.93,-105.25,84.68,51,12,3.38
2422,ixtapa,mx,20.7,-105.2,82.4,54,20,1.59
314,barcelos,br,-0.97,-62.92,96.02,42,8,7.85
1514,khanpur,pk,28.65,70.66,55.39,87,0,2.71
229,khatra,in,22.98,86.85,56.65,83,0,2.59
50,butaritari,ki,3.07,172.79,83.78,100,68,16.8
1255,yuksekova,tr,37.57,44.29,28.4,92,0,6.93
2100,kieta,pg,-6.22,155.63,77.89,100,8,3.38
55,necochea,ar,-38.55,-58.74,60.74,88,0,18.25
935,norton shores,us,43.17,-86.26,53.6,53,1,6.93
1975,sayyan,ye,15.17,44.32,46.39,69,0,5.39
858,saint-joseph,re,-21.37,55.62,80.6,69,0,4.7
43,carnarvon,au,-24.87,113.63,80.09,73,100,3.38
1880,male,mv,4.17,73.51,84.2,79,75,10.29
530,tual,id,-5.67,132.75,84.55,100,92,8.41
1413,emerald,au,-23.53,148.17,66.91,99,92,3.71
34,laguna,br,-28.48,-48.78,76.09,81,20,21.05
35,albany,au,-35.02,117.89,66.68,59,92,9.08
1365,rawson,ar,-43.3,-65.1,59.21,84,24,12.66
293,milos,gr,36.75,24.43,62.6,93,20,3.36
669,brae,gb,60.4,-1.35,44.6,80,92,5.82
451,hearst,ca,49.68,-83.67,35.27,83,48,6.96
224,kamsack,ca,51.57,-101.9,14,92,1,2.82
1353,coahuayana,mx,18.73,-103.68,82.4,42,40,4.16
501,saint-augustin,ca,51.23,-58.65,33.07,100,88,13.11
2121,ust-omchug,ru,61.15,149.63,-13.96,57,24,7.07
1723,khash,ir,28.22,61.22,24.02,79,0,3.38
46,atuona,pf,-9.8,-139.03,79.69,100,20,19.82
1139,saint george,bm,32.38,-64.68,69.8,56,75,10.29
1072,morropon,pe,-5.18,-79.97,79.42,60,36,3.38
1523,nantucket,us,41.28,-70.1,48.2,100,40,5.82
115,opuwo,na,-18.06,13.84,85.58,21,36,8.75
1220,george,za,-33.96,22.46,64.4,77,75,3.36
516,castro,cl,-42.47,-73.77,69.97,67,0,1.81
2399,albacete,es,38.98,-1.85,32,57,0,8.05
2210,oyo,ng,7.85,3.93,82.34,65,8,2.93
857,kailua,us,21.4,-157.74,75.2,68,75,16.11
988,santa isabel,mx,28.38,-113.35,68.8,66,0,3.71
307,leningradskiy,ru,69.38,178.42,26.63,92,92,25.86
1246,ibate,br,-21.95,-48,81.53,96,20,4.16
425,mporokoso,zm,-9.37,30.12,67,90,36,1.7
1095,port hueneme,us,34.15,-119.2,64.4,68,40,3.04
313,port blair,in,11.67,92.75,84.32,97,36,16.35
1088,itacarambi,br,-15.1,-44.09,87.74,70,36,6.96
2474,kitui,ke,-1.37,38.01,73.84,54,92,6.4
51,rikitea,pf,-23.12,-134.97,76.9,100,48,17.47
1876,tabou,ci,4.42,-7.35,81.17,100,80,7.18
